Lokasi,Rata_Rata_Rating,Std_Dev_Rating,Total_Review,Rata_Rata_Umur_Ulasan,Cluster,Nama_Cluster
Ampera,4.469,1.2428127709287442,1000,379.862,1,Excellent (Performa Tinggi)
Bekasi - Babelan,4.686,1.0151031644293271,1000,104.594,1,Excellent (Performa Tinggi)
Bekasi - Harapan Indah,4.458,1.2432947284460674,1000,216.933,1,Excellent (Performa Tinggi)
Bekasi - Sultan Agung,4.479,1.2590250768527778,1000,253.753,1,Excellent (Performa Tinggi)
Bintaro,3.8443579766536966,1.618748863601905,1028,485.2140077821012,2,Underperformer (Perlu Evaluasi)
Bogor - Ciomas,4.45,1.2308594619269153,1000,323.716,1,Excellent (Performa Tinggi)
Bogor - Kedung Badak,4.2681818181818185,1.3730429413118905,1100,363.60636363636365,1,Excellent (Performa Tinggi)
Bogor - Pusat,3.984,1.484097603640482,1500,694.3726666666666,0,Average (Performa Stabil)
Bogor - Tajur,4.375454545454545,1.279052649569432,1100,348.98,1,Excellent (Performa Tinggi)
Bogor - Yasmin,4.367272727272727,1.3015081257676901,1100,357.3636363636364,1,Excellent (Performa Tinggi)
Boulevard Kelapa Gading,3.8546666666666667,1.6709081765319798,750,246.056,2,Underperformer (Perlu Evaluasi)
Cimone,3.424,1.7953961811944037,1000,307.44,2,Underperformer (Perlu Evaluasi)
Depok - Kelapa Dua,3.9964601769911505,1.5563734195488959,2260,436.29557522123895,0,Average (Performa Stabil)
Depok - Pusat,3.928125,1.56233701599151,1920,473.63645833333334,0,Average (Performa Stabil)
Depok - Sawangan,4.248761149653122,1.4031430674366396,1009,293.87016848364715,1,Excellent (Performa Tinggi)
Kemang,4.259006815968841,1.4385069782466195,1027,246.22979552093477,1,Excellent (Performa Tinggi)
Kramat Raya,4.693627450980392,0.9595036485233412,408,7.759803921568627,1,Excellent (Performa Tinggi)
Menteng Proklamasi,4.279,1.4259004846735246,1000,256.089,1,Excellent (Performa Tinggi)
Peta Utara,4.388,1.3413632078058702,1000,231.465,1,Excellent (Performa Tinggi)
Tebet,4.356083086053412,1.291017484786331,1348,360.26038575667656,1,Excellent (Performa Tinggi)
